Company_name,Company_size,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,certified nursing assistant,Full-time,"Bismarck, ND",,"Certified Nursing Assistant (CNA)- FT Day, 3000 Bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1b0ecf83&cb=1612447527079&jobListingId=3798993474
Confidential,N/A,/static/img/banners/default-ei-banner.jpg,N/A,sales manager,Full-time,"Bismarck, ND",,Director of Sales,Easy Apply
Northland PACE,N/A,/static/img/banners/default-ei-banner.jpg,N/A,registered nurse case manager,Full-time,"Bismarck, ND",,"Clinic Case Manager - Nurse (RN) - Bismarck, ND",Easy Apply
Cassia,5001 to 10000 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/3334656/cassia-mn-squarelogo-1606941234779.png",Health Care,medical assistant,Full-time,"Bismarck, ND",,"Certified Medication Assistant (CMA), FT Day",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_db7dbb6b&cb=1612447527745&jobListingId=3807983610
Fargo Glass and Paint,N/A,/static/img/banners/default-ei-banner.jpg,N/A,auto glass technician,Full-time,"Bismarck, ND",,Commercial Glass Installer - Glazier,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044077&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_010d0857&cb=1612447527211&jobListingId=3680028932
Wendy's of Colorado Springs,N/A,/static/img/banners/default-ei-banner.jpg,N/A,district manager,Full-time,"Bismarck, ND",,District Manager,Easy Apply
Super Kids Jr Academy,N/A,/static/img/banners/default-ei-banner.jpg,N/A,other,Part-time,"Bismarck, ND",,Exciting opening for 3 Part Time Specialists to have fun with children!,Easy Apply
Talkspace,51 to 200 Employees,"/static/img/banners/default-ei-banner.jpg,https://media.glassdoor.com/sql/1284778/talkspace-squarelogo-1497516850457.png",Health Care,psychologist,Full-time,"Bismarck, ND",$62K - $115K ,Counselor Psychologist,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1044074&s=58&guid=000001776d5c7cce8777ecb03647cfd5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4c15602f&cb=1612447529653&jobListingId=3771713058
Prestwich Orthodontics,N/A,/static/img/banners/default-ei-banner.jpg,N/A,dental assistant,Part-time,"Bismarck, ND",,Dental Assistant,Easy Apply
"Lighthouse Commodities, LLC",N/A,/static/img/banners/default-ei-banner.jpg,N/A,controller,Full-time,"Bismarck, ND",,Grain Controller,Easy Apply
Yanish Custom Exteriors,N/A,/static/img/banners/default-ei-banner.jpg,N/A,installer,Full-time,"Bismarck, ND",,Lead Carpenter/ Window Installer,Easy Apply
